Iteration 4200 	Loss PDE = 0.000025753681 	Lyap = 3.79e-02
Iteration 4250 	Loss PDE = 0.000025251433 	Lyap = 3.79e-02
Iteration 4300 	Loss PDE = 0.000024755355 	Lyap = 3.79e-02
Iteration 4350 	Loss PDE = 0.000024265411 	Lyap = 3.80e-02
Iteration 4400 	Loss PDE = 0.000023781575 	Lyap = 3.80e-02
Iteration 4450 	Loss PDE = 0.000023303831 	Lyap = 3.80e-02
Iteration 4500 	Loss PDE = 0.000022832166 	Lyap = 3.80e-02
Iteration 4550 	Loss PDE = 0.000022366573 	Lyap = 3.80e-02
Iteration 4600 	Loss PDE = 0.000021907044 	Lyap = 3.80e-02
Iteration 4650 	Loss PDE = 0.000021453576 	Lyap = 3.81e-02
Iteration 4700 	Loss PDE = 0.000021006161 	Lyap = 3.81e-02
Iteration 4750 	Loss PDE = 0.000020564796 	Lyap = 3.81e-02
Iteration 4800 	Loss PDE = 0.000020129472 	Lyap = 3.81e-02
Iteration 4850 	Loss PDE = 0.000019700183 	Lyap = 3.81e-02
Iteration 4900 	Loss PDE = 0.000019276921 	Lyap = 3.82e-02
Iteration 4950 	Loss PDE = 0.000018859674 	Lyap = 3.82e-02
